createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.txCount,token00_creator_address,txCount,Liq_Eth,Liq_Tok
2020-06-01,0x4ccc74497b2d54fade9394fad9d7a77f46fc3e6b,Ribbean,RIB,Wrapped Ether,WETH,0x6e36c4280801131059f5b808c17973278d83b5d7,Ribbean,RIB,83,0x217373ab5e0082b2ce622169672eca6f4462319c,83,2.97e-12,3.7e-17
2020-06-01,0x0dacb47e00aed6abade32c7b398e029393e0d848,Unisocks Edition 0,SOCKS,Wrapped Ether,WETH,0x23b608675a2b2fb1890d3abbd85c5775c51691d5,Unisocks Edition 0,SOCKS,10629,0x37c3791bea30744a88b9292f0c3b0cd3c4969d09,9005,0.813292593,17.66244119
2020-06-01,0x6ce7327594570cd4903abf726c484facb89c1698,Wrapped Ether,WETH,GenieMon,GNM,0xc641119f2cbe633c1871420a139068940d6202bb,GenieMon,GNM,5,0x03c4db13f5878b177efd4aff8793774c6a74b5b4,5,9.25,0.0777
2020-06-01,0x7549456d1377f6e75e7fe434f26454148d9a1e34,Food Token,FDT,Wrapped Ether,WETH,0xb2a01ad9738450f082e5238e43b17fe80781faae,Food Token,FDT,2,0x2b32d2337c07a9c6c6d32521d6ef8cd1d29e988d,2,1.83e-11,1e-18
2020-06-01,0x9ad55f43277b1f85a604b01dc6060732c4121624,Seeds,SEEDS,Wrapped Ether,WETH,0x61404d2d3f2100b124d6827d3f2ddf6233cd71c0,Seeds,SEEDS,952,0x53269cdae8f0d79f0c44332e71a46aece31e54e7,952,1112202.063,38.0385281
2020-06-01,0xa8f2e561b3b49d01b4d74ee79e1806296bbfcefb,Wrapped Ether,WETH,Infinity token,INFTY,0xdef42afc9d4b4767b61add3d926a9aa5cc210275,Infinity token,INFTY,49,0xb794a2326af05e918267ad90d4dbbf639bc40df5,49,128640.3898,0.008017122
2020-06-01,0x335b3de66b741d6fed79c0bffb14c928635d3bc3,AgaveCoin,AGVC,Wrapped Ether,WETH,0x8b79656fc38a04044e495e22fad747126ca305c4,AgaveCoin,AGVC,2159,0x171a2b62f569659aff610bc68e276231a2c0a184,923,2312500.996,0.601546221
2020-06-01,0xd6e81e304eb914afc54366c20c4e07b385d319d2,Tripterium T50,T50,Wrapped Ether,WETH,0x064ed8b48483b37c7a52b0167127057c1157ea15,Tripterium T50,T50,196,0xa791e6d5480d88aba684a90e805453ad135e6cd2,90,19277038.52,1.514238478
2020-05-31,0xed3f5ffc5b6d899538e3e535147fd76fa61f9880,Wrapped Ether,WETH,Smoigel Prophecy,SSOM,0xdd735a0344b59d7d20808e390eebf589fe5bd439,Smoigel Prophecy,SSOM,417,0xe641dca2e131fa8bfe1d7931b9b040e3fe0c5bdc,375,0.417028237,0.005694523
2020-05-31,0x13e638b4f89740a1c2ff45d71f71ee28101cc1dc,Balancer Pool Token,BPT,Wrapped Ether,WETH,0x0e511aa1a137aad267dfe3a6bfca0b856c1a3682,Balancer Pool Token,BPT,4584,0x9424b1412450d0f8fc2255faf6046b98213b76bd,3216,725640.2607,0.023226889
