,Unnamed: 0,createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,token00_creator_address
25020,25020,11447913,2020-12-14,0x23d4dc613ebc3cb3258b87fa4fe3dd944037090f,2e-18,6e-13,4e-18,2.34e-15,0.0,6,6e-13,2e-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xc0bcd8d37c6b18b75b5ed8758b006f3d45bc8b14,dearn.finance,DFI,6e-13,6,0xc0bcd8d37c6b18b75b5ed8758b006f3d45bc8b14,dearn.finance,DFI,6e-13,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x7d54d5e7e0ba14193696e0d96af8237f2ea6b2b3
25021,25021,11447817,2020-12-14,0x55712a5717cc7ed2c1f682218157b93338b3ef96,7.48e-13,2e-18,2e-18,1.17e-15,0.0,2,7.48e-13,2e-18,0x6284e8a06bddd213d1d3a54ca378373e24ad3bea,BITCRYPTO,BITCRO,7.48e-13,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x6284e8a06bddd213d1d3a54ca378373e24ad3bea,BITCRYPTO,BITCRO,7.48e-13,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x7d54d5e7e0ba14193696e0d96af8237f2ea6b2b3
25022,25022,11447680,2020-12-13,0xb95483c5c86613014c5b6b93a65dc017dd55c9aa,135609.191,1e-18,1e-18,5.89e-16,0.0,6,135609.191,1e-18,0xa005f49796ff0c76838fda30b3e2f856561b0051,OneCrypto,ONECRO,135609.191,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xa005f49796ff0c76838fda30b3e2f856561b0051,OneCrypto,ONECRO,135609.191,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x7d54d5e7e0ba14193696e0d96af8237f2ea6b2b3
25023,25023,11447549,2020-12-13,0xf84e31245943aab9cc704018f1dae8c31eb05035,1e-18,0.137018215,0.137018215,85.25170673,0.0,103,1e-18,0.137018215,0x81ebdbdea5ff73a94eee5a3bd01ef1c99656bcff,reflector.finance,RFCTR,1e-18,103,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x81ebdbdea5ff73a94eee5a3bd01ef1c99656bcff,reflector.finance,RFCTR,1e-18,103,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xfaddc4116200ae85a629c3412e6fb55239978515
25024,25024,11447379,2020-12-13,0x3ba1276924b95f78b795242d3d899258d4ccd671,32.24244454,0.276240332,0.276240332,788.5681691,2.984388458,3,32.24244454,0.276240332,0x49475c18843145d635ea302d22585917c01a2153,Bitszcoin,BITSZ,32.24244454,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x49475c18843145d635ea302d22585917c01a2153,Bitszcoin,BITSZ,32.24244454,3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x7bf7bb172fdddb13640f433a0ce4471b36bf22b9
25025,25025,11447180,2020-12-13,0xbb7d31c136bdec970d995616a09643db09a18cd1,1.1e-17,9.53e-14,2.2e-17,1.3e-14,0.0,9,9.53e-14,1.1e-17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xe9f8250884348475e81ddc4a3b54d5c0d71956bf,Utopia Genesis Foundation,UOP,9.53e-14,9,0xe9f8250884348475e81ddc4a3b54d5c0d71956bf,Utopia Genesis Foundation,UOP,9.53e-14,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x7e2a38df65538a4550d78debc20c1b2bdbe6f0ea
25026,25026,11447115,2020-12-13,0x5c329cf9911b562d5cde20b27de44626d1e4ea1c,3.25e-13,4e-18,4e-18,2.34e-15,0.0,31,3.25e-13,4e-18,0x6004d76760d3bb611aba500981a3107059ace58a,Recordbase,RCBASE,3.25e-13,31,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x6004d76760d3bb611aba500981a3107059ace58a,Recordbase,RCBASE,3.25e-13,31,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x6a49bd8606eeb9c42fcdbcad58c547733054c8b1
25027,25027,11447041,2020-12-13,0x37472063d50f99c258118c04b99dd19b21a5f745,2.63e-13,4e-18,4e-18,1.19e-14,0.0,9,2.63e-13,4e-18,0x7e14ec2fe846bfbd2773cc50ca56b96be3d8494d,Bridgebuck,BDB,2.63e-13,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x7e14ec2fe846bfbd2773cc50ca56b96be3d8494d,Bridgebuck,BDB,2.63e-13,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xf3b0cd64d4d81df8e34e0831788931644196156b
25028,25028,11446901,2020-12-13,0x3fd70ca4e1ad3941c38e6d097dca477a90081201,39.95624641,0.017542744,0.035085488,20.39283343,0.830662386,92,39.95624641,0.017542744,0x6ee51f79831d5f8940557d07558fd0f8c354f5f1,SkyRFI,SkyRFI,39.95624641,92,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x6ee51f79831d5f8940557d07558fd0f8c354f5f1,SkyRFI,SkyRFI,39.95624641,92,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0x1d6ae4296b8b35c0665e4851436712e7ddf4ed0b
25029,25029,11446897,2020-12-13,0xf65ecc57da92941f7b85f76a56c477c363c7cb46,1.6e-17,6.5e-14,1.6e-17,1.66e-14,0.0,5,6.5e-14,1.6e-17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xe01b7e74460db786f8a3e2507995138bcf372569,Love Never Grows Old,LNGO,6.5e-14,5,0xe01b7e74460db786f8a3e2507995138bcf372569,Love Never Grows Old,LNGO,6.5e-14,5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,512183.3648,58523084,0xc50df0b3c3c62493f5098a34f2467756462c930c
